animals/mammals/bears/orso_architetto_francesc_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/bears/orso_architetto_francesc_03.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/bears/orso_architetto_francesc_04.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/contour_cheetah.svg: root element is not in any namespace (line 2, column 0)
animals/mammals/big_cats/tigre01_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/tigre02_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/tigre03_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/tigre04_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/tigre05_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/leone_01_architetto_fran_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/big_cats/leone_02_architetto_fran_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/housecats/kitten_gerald_g._01.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/housecats/gatto_cat_architetto_fra_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/housecats/gatto_cat_architetto_fra_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/housecats/gatto_cat_architetto_fra_03.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/housecats/gatto_cat_architetto_fra_04.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/mechorse.svg: unknown SVG attribute 'space' (line 49, column 4)
animals/mammals/horses/cavallo_architetto_franc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_03.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_04.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_05.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_06.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/cavallo_architetto_franc_07.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/mammals/horses/horse_1_konstantin_r._01.svg: unknown SVG attribute 'space' (line 2, column 102)
animals/mammals/horses/horse_1_rotkevich_konsat_01.svg: unknown SVG attribute 'space' (line 2, column 102)
animals/mammals/horses/horse_2_konstantin_r._01.svg: unknown SVG attribute 'space' (line 5, column 0)
animals/mammals/dogs/beagle_copper_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/dogs/black_lab_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/dogs/bulldog_puppy_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
animals/mammals/dogs/bobi_architetto_francesc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_03.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_04.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_05.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_06.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_07.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_08.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_09.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dino_architetto_francesc_10.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dinosauri_architetto_fra_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dinosauri_architetto_fra_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dinosauro_architetto_fra_01.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dinosauro_architetto_fra_02.svg: unknown SVG attribute 'space' (line 2, column 98)
animals/dinosaurs/dinosauro_architetto_fra_03.svg: unknown SVG attribute 'space' (line 2, column 98)
buildings/factory_gabrielle_nowick_.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/house_gabrielle_nowicki_.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/grain_elevator_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/old_sign_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/water_tower_ganson.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/brick_frouke_01.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/firestation_mimooh_01.svg: unknown SVG attribute 'space' (line 121, column 2)
buildings/school_country__abiclipa_01.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/school_hallway_gerald_g._01.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/us_capitol_building_cli_01.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/furniture/mobile_architetto_france_01.svg: unknown SVG attribute 'space' (line 2, column 98)
buildings/furniture/poltrona_ufficio_archite_01.svg: unknown SVG attribute 'space' (line 2, column 98)
buildings/homes/house_gabrielle_nowicki_.svg: unknown SVG attribute 'space' (line 2, column 94)
buildings/homes/casa_verde_architetto_fr_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/revconnect_logo_bruno_ri_01.svg: unknown SVG attribute 'space' (line 4, column 59)
computer/sim_borja_bravo_01.svg: unknown SVG attribute 'space' (line 3, column 80)
computer/windows_frustration_dani_01.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 66, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 74, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 81, column 4)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 90, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 98, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 105, column 4)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 114, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 122, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 129, column 4)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 138, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 146, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 153, column 4)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 161, column 2)
computer/phone_sergio_luiz_araujo_01.svg: unknown SVG attribute 'space' (line 164, column 2)
computer/24_ports_switch_nicolas__01.svg: unknown SVG attribute 'space' (line 152, column 4)
computer/48_ports_switch_nicolas__01.svg: unknown SVG attribute 'space' (line 332, column 4)
computer/baby-tux_alex_kuehne_01.svg: unknown SVG attribute 'space' (line 4, column 59)
computer/alcatel_nicolas_cle_.svg: unknown SVG attribute 'space' (line 221, column 6)
computer/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 46, column 4)
computer/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 50, column 4)
computer/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 59, column 4)
computer/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 63, column 4)
computer/hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 68, column 4)
computer/joypad_the_mad_processor_.svg: unknown SVG attribute 'space' (line 2, column 94)
computer/stylized_cd_jakob_chaosi_.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 47, column 4)
computer/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 51, column 4)
computer/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 60, column 4)
computer/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 64, column 4)
computer/8port_hub_ruairi_hann_r.svg: unknown SVG attribute 'collect' (line 69, column 4)
computer/green_computer_merzok_01.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/python_logo_osvaldo_sant_01.svg: unknown SVG attribute 'space' (line 3, column 27)
computer/python_odie_osvaldo_sant_01.svg: unknown SVG attribute 'space' (line 3, column 27)
computer/python_powered_osvaldo_s_01.svg: unknown SVG attribute 'space' (line 3, column 27)
computer/mouse_scroll_fco._andrad_01.svg: unknown SVG attribute 'space' (line 86, column 4)
computer/mouse_scroll_fco._andrad_01.svg: unknown SVG attribute 'space' (line 89, column 4)
computer/python_logo_just_van_ros_02.svg: unknown SVG attribute 'space' (line 2, column 27)
computer/python_odie_mascout_unkn_01.svg: unknown SVG attribute 'space' (line 2, column 27)
computer/python_powered_logo_just_01.svg: unknown SVG attribute 'space' (line 2, column 27)
computer/otto_02.svg: unknown SVG attribute 'date' (line 14, column 2)
computer/otto_02.svg: unknown SVG attribute 'nick' (line 14, column 2)
computer/otto_02.svg: unknown SVG element 'author' (line 14, column 2)
computer/tux_is_chilean_lorenzo_l_01.svg: unknown SVG attribute 'collect' (line 53, column 4)
computer/cd_architetto_francesco__01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/floppy_architetto_france_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/floppy_disk_architetto_f_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/buttons/fancy_red_button_matt_to_01.svg: unknown SVG attribute 'space' (line 2, column 102)
computer/buttons/pulsante_01_architetto_f_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/buttons/pulsante_02_architetto_f_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/buttons/pulsante_03_architetto_f_01.svg: unknown SVG attribute 'space' (line 2, column 98)
computer/buttons/pulsante_04_architetto_f_01.svg: unknown SVG attribute 'space' (line 2, column 98)
